,item_festival,item_festival_title
153,Devshayani Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/devshayani_ekadashi.png' alt='icon'> Devshayani Ekadashi <br> on June 29th (Thursday)
154,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on June 30th (Friday)
155,Jayaparvati Vrat Begins,<img class='dpTooltipImg' src='/images/festivals/60x60/gauri_puja.png' alt='icon'> Jayaparvati Vrat Begins <br> on July 1st (Saturday)
156,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on July 31st (Monday)
157,Devshayani Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/devshayani_ekadashi.png' alt='icon'> Devshayani Ekadashi <br> on June 29th (Thursday)
158,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on June 30th (Friday)
159,Jayaparvati Vrat Begins,<img class='dpTooltipImg' src='/images/festivals/60x60/gauri_puja.png' alt='icon'> Jayaparvati Vrat Begins <br> on July 1st (Saturday)
160,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on July 2nd (Sunday)
161,Vyasa Puja,<img class='dpTooltipImg' src='/images/festivals/60x60/guru_purnima.png' alt='icon'> Vyasa Puja <br> on July 2nd (Sunday)
162,Kokila Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/kokila_vrat_puja.png' alt='icon'> Kokila Vrat <br> on July 2nd (Sunday)
163,Guru Purnima,<img class='dpTooltipImg' src='/images/festivals/60x60/guru_purnima.png' alt='icon'> Guru Purnima <br> on July 2nd (Sunday)
164,Ashadha Purnima,<img class='dpTooltipImg' src='/images/festivals/60x60/purnima_full_moon.png' alt='icon'> Ashadha Purnima <br> on July 2nd (Sunday)
165,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on July 3rd (Monday)
166,Jayaparvati Vrat Ends,<img class='dpTooltipImg' src='/images/festivals/60x60/gauri_puja.png' alt='icon'> Jayaparvati Vrat Ends <br> on July 5th (Wednesday)
167,Gajanana Sankashti Chaturthi,<img class='dpTooltipImg' src='/images/festivals/60x60/gajanana_ganesha.png' alt='icon'> Gajanana Sankashti Chaturthi <br> on July 5th (Wednesday)
168,Kamika Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_sleeping.png' alt='icon'> Kamika Ekadashi <br> on July 13th (Thursday)
